Track ID,Name,Artist,Genre,Total Time,Location,Play Count,Column1,Column2,Column3
549,Softly As In A Morning Sunrise,"Eshelman, Dave",Jazz,302,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Eshelman,%20Dave/Deep%20Voices/02%20-%20Softly%20As%20In%20A%20Morning%20Sunrise.mp3",0,,,
557,Viva Corea,"Eshelman, Dave",Jazz,302,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Eshelman,%20Dave/Deep%20Voices/10%20-%20Viva%20Corea.mp3",0,,,
1131,Softly As In A Morning Sunrise,"Eshelman, Dave",Jazz,302,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Eshelman,%20Dave/Deep%20Voices/02%20-%20Softly%20As%20In%20A%20Morning%20Sunrise.mp3",0,,,
1139,Viva Corea,"Eshelman, Dave",Jazz,302,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Eshelman,%20Dave/Deep%20Voices/10%20-%20Viva%20Corea.mp3",0,,,
827,Internet Friends,Knife Party,Electro House,301,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Knife%20Party/Knife_Party-Internet_Friends_Original_.mp3,0,,,
1066,06 One Word,The Floozies,,301,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Tell%20Your%20Mother/06%20One%20Word.mp3,0,,,
4132,Gunslinger,"Michael Salvatori, Skye Lewin, C Paul Johnson",Soundtrack,301,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Destiny%20Forsaken/Destiny_2_Forsaken_Original_Soundtrack_and_Whisper_of_the_Worm_Bonus/Destiny%202%20Forsaken%20Original%20Soundtrack/MP3/Destiny%202%20Forsaken%20Original%20Soundtrack%20-%20Disc%202/2-23%20Gunslinger.mp3,0,,,
523,Senor Mouse,Gordon Goodwin's Big Phat Band,Jazz,300,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Goodwin,%20Gordon/Act%20Your%20Age/05%20Senor%20Mouse.mp3",0,,,
558,We're Outta Here,"Eshelman, Dave",Jazz,300,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Eshelman,%20Dave/Deep%20Voices/11%20-%20We're%20Outta%20Here.mp3",0,,,
641,Open Letter to Duke,Charles Mingus,,300,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/mp3/Charles%20Mingus%20-%20Open%20Letter%20to%20Duke.mp3,0,,,
1067,07 Indubitably,The Floozies,,300,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Tell%20Your%20Mother/07%20Indubitably.mp3,0,,,
1140,We're Outta Here,"Eshelman, Dave",Jazz,300,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Eshelman,%20Dave/Deep%20Voices/11%20-%20We're%20Outta%20Here.mp3",0,,,
1469,아이야 나랑 걷자 (Feat. 최백호),아이유 (IU),Pop,300,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/IU%20-%20Modern%20Times%20(Vol.%203)%20[k2nblog.com]/08%20%EC%95%84%EC%9D%B4%EC%95%BC%20%EB%82%98%EB%9E%91%20%EA%B1%B7%EC%9E%90%20(feat.%20%EC%B5%9C%EB%B0%B1%ED%98%B8).mp3,0,,,
674,Blood Sugar,Pendulum,,299,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/mp3/Pendulum%20-%20Blood%20Sugar.mp3,0,,,
857,No Time To Play,Guru,Rap,299,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Guru%20-%20Guru's%20Jazzmatazz%20Vol.%201/5.No%20Time%20To%20Play.mp3,0,,,
4105,Keep of Voices,"Brendon Williams, Michael Salvatori, Skye Lewin",Soundtrack,299,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Destiny%20Forsaken/Destiny_2_Forsaken_Original_Soundtrack_and_Whisper_of_the_Worm_Bonus/Destiny%202%20Forsaken%20Original%20Soundtrack/MP3/Destiny%202%20Forsaken%20Original%20Soundtrack%20-%20Disc%201/1-08%20Keep%20of%20Voices.mp3,0,,,
519,Hit The Ground Running,Gordon Goodwin's Big Phat Band,Jazz,296,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Goodwin,%20Gordon/Act%20Your%20Age/01%20Hit%20The%20Ground%20Running.mp3",0,,,
1295,Straight Outta Compton,N.W.A.,Hip Hop/Rap,295,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Burn%20Notice/Straight%20Outta%20Compton%20-%20N.W.A%20-%20Straight%20Outta%20Compton.mp3,0,,,
1340,M.A.A.D. City (Eprom Remix),Kendrick Lamar,,294,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/BadBoy/Kendrick%20Lamar%20-%20M.A.A.D.%20City%20(Mc.%20Eiht)%20[FULL%20Instrumental].mp3,0,,,
203,My Lament,Maria Schneider,Jazz,293,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Schneider,%20Maria/Evanescence/07%20-%20My%20Lament.mp3",0,,,
428,My Lament,Maria Schneider,Jazz,293,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Schneider,%20Maria/Evanescence/07%20-%20My%20Lament.mp3",0,,,
694,Viva La Dirt League,Trouble When You Warped In,,293,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/mp3/Trouble%20When%20You%20Warped%20In%20-%20Viva%20La%20Dirt%20League.mp3,0,,,
705,Clavinet D6,,,293,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/mp3/Soundcloud/Clavinet%20D6.mp3,0,,,
515,Mueva Los Huesos (Shake Your Bones),Gordon Goodwin's Big Phat Band,Jazz,292,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Goodwin,%20Gordon/Swingin'%20For%20The%20Fences/07%20Mueva%20Los%20Huesos%20(Shake%20Your%20Bone.mp3",0,,,
858,Down The Backstreets,Guru,Rap,292,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Guru%20-%20Guru's%20Jazzmatazz%20Vol.%201/6.Down%20The%20Backstreets.mp3,0,,,
1068,08 Somebody Help Me,The Floozies,,292,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Tell%20Your%20Mother/08%20Somebody%20Help%20Me.mp3,0,,,
583,Kill Screen (Original Mix),Our Time,Electronic,291,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Our_Time--Midnight-WEB-2016-WUS/07-our_time--kill_screen_(original_mix)-wus.mp3,0,,,
1384,Datsik-Hold_It_Down_Ft_Georgia_Murray_Doctor_P_Remix_,,,291,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/Datsik-Hold_It_Down_Ft_Georgia_Murray_Doctor_P_Remix_.mp3,0,,,
4012,Holliday,"Michael Salvatori, Skye Lewin, C Paul Johnson, Rotem Moav & Pieter Schlosser",Score,291,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Destiny%202%20Original%20Soundtrack/18.%20Holliday.mp3,0,,,
73,The Roots and Method Man- Protect Ya Neck,,,290,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/The%20Roots%20and%20Method%20Man-%20Protect%20Ya%20Neck.mp3,0,,,
817,Benny Hill,Theme,Soundtrack,290,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/MAG/Benny%20Hill%20-%20Theme%20-%20.mp3,0,,,
886,Rocky theme song,,,290,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Grooveshark%20Tracks/Rocky%20theme%20song.mp3,0,,,
899,"YG ft. Young Jeezy, Rich Homie Quan - My Nigga (DatPiff Exclusive)",Young Jeezy,Hip-Hop,290,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Grooveshark%20Tracks/YG%20ft.%20Young%20Jeezy,%20Rich%20Homie%20Quan%20-%20My%20Nigga%20(DatPiff%20Exclusive)%20-%20Young%20Jeezy%20-%20Its%20Tha%20World.mp3",0,,,
133,The End Is the Beginning,Two Steps From Hell,Classical,289,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Skyworld/05%20The%20End%20Is%20the%20Beginning.mp3,0,,,
462,Backwoods Sideman,"Rich, Buddy",Jazz,289,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Rich,%20Buddy/Ease%20On%20Down%20The%20Road/02%20-%20Backwoods%20Sideman.mp3",0,,,
409,prototyperaptor-titan-of-the-deep,,,288,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Prototype%20Raptor/PrototypeRaptor%20Nostalgia/prototyperaptor-titan-of-the-deep.mp3,0,,,
1061,01 Ice Cold,The Floozies,,288,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Tell%20Your%20Mother/01%20Ice%20Cold.mp3,0,,,
1082,FNKTRP,,,288,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Do%20Your%20Thing/FNKTRP.wav,0,,,
491,Hunting Wabbits 2 (A Bad Hare Day),Gordon Goodwin's Big Phat Band,Jazz,287,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Goodwin,%20Gordon/The%20Phat%20Pack/06%20Hunting%20Wabbits%202%20(A%20Bad%20Hare%20Day.mp3",0,,,
404,prototyperaptor-inner-machinations,,,286,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Prototype%20Raptor/PrototypeRaptor%20Nostalgia/prototyperaptor-inner-machinations.mp3,0,,,
1398,San Antonio Dances Mvt 1 (MASTER),Frank Ticheli,,286,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/san_antonio_1.mp3,0,,,
1441,After The Storm,Norman Brown,Jazz,286,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/Norman%20After%20the%20Storm/Norman_Brown-After_The_Storm.mp3,0,,,
18,Elton John - Rocket Man (HQ),,,285,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Elton%20John%20-%20Rocket%20Man%20(HQ).mp3,0,,,
460,Cornerstone,Buddy Rich,Jazz,285,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Rich,%20Buddy/Keep%20the%20Customer%20Satisfied/13%20-%20Cornerstone.mp3",0,,,
900,YMCA,Village People,Other,285,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Grooveshark%20Tracks/YMCA%20-%20Village%20People%20-%20The%20best%20of%2050-60-70-80-90.mp3,0,,,
481,It's All Right With Me,Gordon Goodwin's Big Phat Band,Jazz,284,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Goodwin,%20Gordon/XXL/08%20It's%20All%20Right%20With%20Me.mp3",0,,,
748,80's League of Legends,Major League Wobs,Remixes,284,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/MLW/80's/80's%20League%20of%20Legends.mp3,0,,,
449,Long Day's Journey,Buddy Rich,Jazz,282,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Rich,%20Buddy/Keep%20the%20Customer%20Satisfied/02%20-%20Long%20Day's%20Journey.mp3",0,,,
1085,Kinky,,,282,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Do%20Your%20Thing/Kinky.wav,0,,,
86,Chrono Trigger 'Subterranean Opus' OC ReMix,zircon,Game,281,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zircon%20Music/Chrono_Trigger_Subterranean_Opus_OC_ReMix.mp3,0,,,
1399,San Antonio Dances Mvt 2 (MASTER),Frank Ticheli,,281,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/san_antonio_2.mp3,0,,,
4115,The Fanatic,"Skye Lewin, Michael Salvatori",Soundtrack,281,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Destiny%20Forsaken/Destiny_2_Forsaken_Original_Soundtrack_and_Whisper_of_the_Worm_Bonus/Destiny%202%20Forsaken%20Original%20Soundtrack/MP3/Destiny%202%20Forsaken%20Original%20Soundtrack%20-%20Disc%201/1-02%20The%20Fanatic.mp3,0,,,
1919,Unsatisfied,tashaki miyaki,,280,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Tashakimiyaki/tashaki%20miyaki%20-%20under%20cover%20vol.%20II%20-%2008%20Unsatisfied.mp3,0,,,
4128,The Man They Called Cayde,"Skye Lewin, Michael Salvatori",Soundtrack,280,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Destiny%20Forsaken/Destiny_2_Forsaken_Original_Soundtrack_and_Whisper_of_the_Worm_Bonus/Destiny%202%20Forsaken%20Original%20Soundtrack/MP3/Destiny%202%20Forsaken%20Original%20Soundtrack%20-%20Disc%202/2-19%20The%20Man%20They%20Called%20Cayde.mp3,0,,,
1357,Dear Mama,2Pac,Rap,279,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/2pac/2Pac%20-%20Dear%20Mama%20[mp3clan.com].mp3,0,,,
112,Super Metroid 'Kindred' OC ReMix,"Jillian Aversa, zircon",Game,278,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zircon%20Music/Super_Metroid_Kindred_OC_ReMix.mp3,0,,,
1359,Holler If Ya Hear Me,2Pac,Rap,278,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/2pac/2Pac%20-%20Holler%20If%20Ya%20Hear%20Me%20[mp3clan.com].mp3,0,,,
645,Charles Mingus Septet 1959 ~ GG Train,,,277,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/mp3/Charles%20Mingus%20Septet%201959%20~%20GG%20Train.mp3,0,,,
692,Bitter Sweet Symphony,The Verve,,277,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/mp3/The%20Verve%20-%20Bitter%20Sweet%20Symphony.mp3,0,,,
1348,Thrift Shop PARODY I m Obama ~ Rucka Rucka Ali,,,277,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/BadBoy/Thrift%20Shop%20PARODY%20I%20m%20Obama%20~%20Rucka%20Rucka%20Ali.mp3,0,,,
78,To Glory,Two Steps From Hell,,275,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/tumblr_m6iakeLvmj1qm3v42o1.mp3,0,,,
123,To Glory,Two Steps From Hell,,275,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Two%20steps%20from%20hell/To%20Glory.mp3,0,,,
154,Calling Your Name (Skism Remix),Muffler,Dubstep,275,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Skism%20Dubstep/Muffler%20-%20Calling%20Your%20Name%20(Skism%20Remix)%20[mp3clan.com].mp3,0,,,
1148,To Glory,Two Steps From Hell,,275,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Eine%20Neue%20Ordner%20fuer%20unseres%20Musik/to%20glory.mp3,0,,,
306,Misthalin Mood II - Runescape 3 Music [SOUNDTRACK],Runescape 3,Soundtrack,274,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Runescape%203%20Individual%20Tracks/Misthalin%20Mood%20II%20-%20Runescape%203%20Music%20[SOUNDTRACK].mp3,0,,,
1327,Chameleon,Maynard Ferguson,Acid Jazz,274,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/BadBoy/Chameleon%20-%20Maynard%20Ferguson%20-%20-.mp3,0,,,
828,Sleaze,Knife Party,Moombahton,273,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Knife%20Party/Knife_Party-Sleaze.mp3,0,,,
403,prototyperaptor-h-a-m,,,272,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Prototype%20Raptor/PrototypeRaptor%20Nostalgia/prototyperaptor-h-a-m.mp3,0,,,
453,The Juicer is Wild,Buddy Rich,Jazz,272,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Rich,%20Buddy/Keep%20the%20Customer%20Satisfied/06%20-%20The%20Juicer%20is%20Wild.mp3",0,,,
824,Bonfire,Knife Party,Dupstep,272,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Knife%20Party/Knife_Party-Bonfire_%D0%BE%D1%80%D0%B8%D0%B3%D0%B8%D0%BD%D0%B0%D0%BB_.mp3,0,,,
861,Trust Me,Guru,Rap,272,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Guru%20-%20Guru's%20Jazzmatazz%20Vol.%201/9.Trust%20Me.mp3,0,,,
1378,Corazon Espinado,Carlos Santana,,272,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/Carlos_Santana-Corazon_Espinado.mp3,0,,,
66,Star Wars- Skywalker Theme (HD Stereo),,,271,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Star%20Wars-%20Skywalker%20Theme%20(HD%20Stereo).mp3,0,,,
3,AirbandProject,,,270,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/AirbandProject.mp3,0,,,
932,Tank Fight,Joseph Loduca,Instrumental,270,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Grooveshark%20Tracks/Leverage%20Tracks/Tank%20Fight%20-%20Joseph%20LoDuca%20-%20Leverage.mp3,0,,,
1009,Velvet Killer,PrototypeRaptor,,270,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/PrototypeRaptor%20-%20Aire%20Blvd%20(2016)/13%20-%20Velvet%20Killer.mp3,0,,,
1292,Still D_R_E_ (feat. Snoop Dogg),Dr Dre,Hip-Hop,270,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Burn%20Notice/Still%20D.R.E.%20(feat.%20Snoop%20Dogg)%20-%20Dr.%20Dre%20-%202001.mp3,0,,,
1392,Uptown Funk (feat. Bruno Mars),Mark Ronson,Pop,270,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/Mark_Ronson-Uptown_Funk_feat_Bruno_Mars_.mp3,0,,,
2,Limehouse Blues,Jamey Aebersold,Educational & Lectures,269,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/16.%20Limehouse%20Blues.mp3,0,,,
521,September,Gordon Goodwin's Big Phat Band,Jazz,269,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Professional%20Groups/Goodwin,%20Gordon/Act%20Your%20Age/03%20September.mp3",0,,,
1976,St. Louis Blues,Jamey Aebersold,Educational & Lectures,269,file://localhost/C:/Users/theplaineric/Desktop/Misc/07.%20St.%20Louis%20Blues.mp3,0,,,
